AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Image_Name
2411,6882,2230,2256,44,6444,3418,3465,1947,4516,1386,5221,3704,3804,1
6387,3537,2706,3736,7464,950,6343,6057,2543,2288,714,4528,3460,1099,1
4847,646,152,3919,6222,968,1141,839,6965,6147,2243,7578,3399,562,1
4734,6731,8271,5292,7265,919,3525,7427,4753,3074,6900,7916,3221,2405,1
5786,4250,3058,7317,4959,6436,4555,250,5708,1279,4971,4990,3156,6518,1
1400,2750,5384,4685,6280,6158,3508,8324,5343,5447,2014,4808,7952,3145,1
4162,2401,6852,6168,5592,8261,8230,5486,1536,3153,3924,1470,6989,5424,1
3514,6736,1559,4059,3148,7882,6375,3730,906,3672,6899,4610,4803,3104,1
5030,5149,6912,4481,1011,1108,6407,2342,2985,579,6972,3669,7572,526,1
7573,7529,619,777,5121,8201,2436,4935,3048,5719,7125,745,7956,4566,1
807,7111,1364,6275,7119,5141,7996,4373,942,8356,924,5641,6289,2407,1
5738,6322,1482,7302,3181,7857,2292,7014,2736,4576,3943,7430,5082,2991,1
991,2498,8106,101,8371,1733,5185,6803,7133,5157,6909,7076,1432,4235,1
4312,29,1473,7587,1260,4016,3618,638,7746,4415,7416,2722,1884,540,1
5503,3808,8208,3458,5610,5351,7568,3257,4666,6696,5031,3106,6306,6311,1
7075,528,7632,2357,6618,499,7700,89,3777,3471,2828,928,1555,5061,1
5055,1886,739,4507,8215,5664,721,1230,1998,5373,3244,4020,4828,6413,1
1904,3085,5676,794,6705,4737,5042,6148,6593,8115,7011,5798,3440,6388,1
8378,7479,5636,3040,2504,2508,7815,6043,7416,1841,5811,5333,6467,3005,1
3548,1449,2019,7490,4137,5216,7085,3107,6347,2816,379,5007,5271,4752,1
1879,2713,249,7508,2648,145,1543,4505,6378,1702,7657,6486,8029,4915,1
7907,5225,4995,2529,7983,7783,2181,240,7292,3101,334,3529,4110,1302,1
2233,8203,4,811,2572,6131,7275,7514,8158,3826,5097,4090,2861,7697,1
